"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","4","","0","0","POST User","0"
"0","","3","","4","0","GET Carts","0"
"0","","3","","3","0","POST Cart","0"
"0","","4","","3","0","PUT Product","0"
"0","","3","","4","0","GET Users","0"
"0","","3","","3","0","DELETE Carts","0"
"0","","3","","3","0","DELETE Product","0"
"0","","0","","3","0","DELETE Users","0"
"0","","2","","0","0","UPDATE Users","0"
"0","","0","","5","0","","0"
"0","","5","","3","0","UPDATE Carts","0"
"0","","0","","4","0","GET Products","0"
"0","","4","","3","0","POST Product","0"
"0","","0","","3","0","GET Product Response Time","0"
